 cl   sp   el  size ave.  brightness ave.
-----------------------------------------
  1 [  0,   7]   10556.9     1206.0
  2 [ 14,   1]    2083.4     1182.8
  3 [  6,  28]    3397.1     1204.2
  4 [  9,   0]     541.2     1177.3
  5 [ 24,   0]     679.5     1178.6
  6 [ 10,   0]     321.6     1171.2
  7 [ 30,   0]    1166.6     1189.3
  8 [  6,   4]    1981.7     1217.4
  9 [  3,  15]    1310.1     1222.2
 10 [  2,  19]    1974.4     1217.0
 11 [  0,  11]    1228.4     1228.5
 12 [  3,  38]    1222.6     1215.1
 13 [ 46,   6]    2370.8     1190.0
 14 [  3,   0]     621.0     1165.2
 15 [  8,  17]    1099.0     1207.0
 16 [ 15,  15]     198.4     1192.9
 17 [  6,  16]     165.3     1184.3
 18 [ 25,   2]     259.0     1196.6
 19 [ 12,   3]     279.3     1172.6
 20 [  5,  15]     217.1     1193.4
 21 [ 33,   7]     259.7     1188.8
 22 [ 34,   1]     292.2     1185.5
 23 [ 25,   1]     308.0     1190.6
 24 [ 11,   1]     211.4     1194.9
 25 [  5,   3]     565.1     1196.3
 26 [  4,  12]     499.1     1210.2
 27 [  2,   1]     560.0     1161.6
 28 [  3,  18]     612.1     1195.2
 29 [  7,   8]     439.1     1226.9
 30 [  6,  10]     379.6     1201.0
 31 [  4,  10]     376.4     1176.1
 32 [  5,   9]     872.2     1199.0
 33 [  2,  31]     805.8     1217.7
 34 [  2,  19]     599.4     1235.4
 35 [  0,  15]     824.3     1234.7
 36 [  2,  12]     673.2     1213.2
 37 [  3,   9]     754.2     1256.0
 38 [ 13,   1]     799.3     1200.8
 39 [  1,   1]    1426.5     1723.7
 40 [ 28,   3]     281.2     1182.2
 41 [ 31,   0]     291.7     1183.7
 42 [  5,   0]     278.0     1179.5
 43 [  8,   0]     339.2     1173.0
 44 [ 16,   0]     398.7     1186.0
 45 [ 44,   0]     498.2     1187.3
 46 [ 11,   0]     548.5     1175.4
 47 [ 11,   0]     392.3     1178.8
 48 [  3,   1]     387.0     1164.4
 49 [  9,   0]     456.1     1182.7
 50 [ 10,   0]     640.4     1180.4
 51 [ 17,   0]    1055.8     1197.3
 52 [ 21,   0]     756.6     1186.5
 53 [  1,   3]     344.5     1254.7
 54 [  4,   2]     297.8     1226.7
 55 [ 13,  30]     192.7     1220.9
 56 [ 11,  26]     172.4     1214.0
 57 [  7,  22]     272.8     1201.0
 58 [ 14,  24]     326.9     1202.5
 59 [  7,  17]     176.0     1205.7
 60 [  0,  12]     238.3     1221.1
 61 [  7,   4]     217.3     1177.7
 62 [  9,   6]     220.4     1203.0
 63 [  4,   5]     189.3     1200.1
 64 [  5,  13]     190.7     1200.3
 65 [  4,  22]     161.2     1198.3
 66 [ 14,   7]     254.1     1186.2
 67 [  2,  16]     521.4     1225.3
 68 [  9,  27]     380.8     1219.6
 69 [  3,  11]     268.0     1223.4
 70 [  8,  19]     194.3     1219.2
 71 [  3,  10]     232.2     1216.2
 72 [  4,   7]     309.2     1205.1
 73 [  2,  10]     273.8     1211.7
 74 [ 24,  30]     196.8     1213.0
 75 [ 14,  55]     210.6     1197.3
 76 [ 10,  13]     199.5     1182.9
 77 [ 27,  63]     198.2     1207.9
 78 [ 16,  27]     316.8     1201.4
 79 [ 13,   0]     397.2     1205.1
 80 [  4,  18]     454.0     1203.4
 81 [  6,  15]     446.5     1213.2
 82 [  3,   0]     661.3     1202.9
 83 [  4,   0]     338.2     1189.1
 84 [  6,   9]     992.8     1222.0
 85 [  7,  18]     559.3     1199.2
 86 [  6,   3]     253.7     1203.8
 87 [ 11,  12]     351.2     1204.5
 88 [  4,  20]     736.0     1211.4
 89 [ 14,   9]     595.2     1208.1
 90 [  1,   1]     530.5     1234.1
 91 [  9,  11]     203.0     1200.5
 92 [  8,  14]     195.3     1201.8
 93 [  6,   8]     222.9     1183.5
 94 [ 13,   6]     357.4     1205.3
 95 [ 12,   1]     352.2     1176.4
 96 [  9,   0]     326.4     1203.2
 97 [ 19,   3]     230.5     1188.0
 98 [  7,   1]     358.0     1172.0
 99 [  9,   0]     465.0     1168.7
100 [  4,   0]     402.8     1158.0
TP=663, FP=77, TN=923, FN=337
再現率:0.663
偽陽性率:0.077
TSS:0.586
